Rank;Genre;Nom de la cha�ne;Nombre d�abonn�s;Nombre total de vues;Nombre de vid�os publi�es;Ann�e
211;Music;Genierock;14900000;14110650588;1623;2008
235;News & Politics;CNN;14800000;13371679587;158144;2005
244;Music;Fueled By Ramen;14700000;13058075071;1203;2006
187;Comedy;dednahype;14600000;14947769916;1381;2020
198;Entertainment;Disney Junior;14600000;14406350201;3718;2008
119;Music;Maroon5VEVO;14500000;19565971464;143;2009
180;Entertainment;Mazhavil Manorama;14400000;15227993247;80390;2011
129;Music;MalumaVEVO;14100000;18550458611;178;2011
270;News & Politics;ABC News;14100000;12373854954;77308;2006
134;Entertainment;ZEE5;14000000;17557695746;93640;2018
282;Comedy;Topper Guild;14000000;11997319531;644;2014
257;People & Blogs;ETV Jabardasth;13600000;12903392102;8662;2015
276;Music;Atlantic Records;13600000;12097238674;1544;2006
203;Entertainment;Saturday Night Live;13400000;14287683142;8226;2013
166;People & Blogs;Koray Zeynep;13300000;15748182269;10475;2016
167;Entertainment;Come Play With Me;13300000;15728169121;391;2014
106;Music;jbalvinVEVO;13200000;20330493553;235;2010
181;Music;EnriqueIglesiasVEVO;12900000;15101019022;136;2009
300;News & Politics;GMA News;12900000;11387663843;345736;2007
220;Music;BeyoncéVEVO;12800000;13776803693;168;2009
226;People & Blogs;ZutiGang;12400000;13546973241;1135;2021
267;Music;DisneyChannelUK;12400000;12464867813;4382;2007
275;People & Blogs;XO TEAM;12400000;12161624272;2786;2021
274;Entertainment;YoungBoy Never Broke Again;12200000;12319098703;590;2015
295;Entertainment;eltrece;12100000;11709869278;159305;2014
238;Music;ChrisBrownVEVO;11900000;13317446177;297;2009
173;Music;Mundo Bita;11800000;15441838450;201;2011
213;Music;CalvinHarrisVEVO;11800000;14023574215;174;2009
102;News & Politics;Inside Edition;11500000;20650907165;29223;2012
297;Entertainment;DisneyJuniorUK;11300000;11586962179;2789;2010
294;Music;ChainsmokersVEVO;11100000;11734620739;246;2012
186;Comedy;MoniLina;10900000;14960422456;746;2021
153;Music;TheWeekndVEVO;10500000;16159144153;136;2011
286;People & Blogs;As/Is;10400000;11909217449;4824;2013
216;News & Politics;Fox News;10300000;13836378802;89842;2006
